Date : 2025-09-11 12:58:40
Directory : c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks
Total : 105 files,  23161 codes, 586 comments, 1740 blanks, all 25487 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\input.tsx                            | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\label.tsx                            | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\progress.tsx                         | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\select.tsx                           | TypeScript JSX     |        146 |          0 |         14 |        160 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\separator.tsx                        | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\skeleton.tsx                         | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\switch.tsx                           | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\tabs.tsx                             | TypeScript JSX     |         48 |          0 |          8 |         56 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\ui\textarea.tsx                         | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\components\upgrade-button.tsx                      | TypeScript JSX     |        320 |         11 |         32 |        363 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\hooks\use-analytics.ts                             | TypeScript         |        111 |         13 |         23 |        147 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\hooks\use-auth.ts                                  | TypeScript         |        134 |          6 |         24 |        164 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\hooks\use-feature-flags.ts                         | TypeScript         |         82 |          9 |         23 |        114 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\hooks\use-surveys.ts                               | TypeScript         |        100 |         16 |         24 |        140 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\lib\auth.ts                                        | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\lib\billing.ts                                     | TypeScript         |        151 |         12 |         24 |        187 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\lib\posthog.ts                                     | TypeScript         |         31 |          4 |          7 |         42 |
| c:\Users\MunakalaParthaSaradh\Desktop\Posthog\tasks\lib\supabase.ts                                    | TypeScript         |        159 |          1 |          4 |        164 |
